,Date,Count_Pos_Reviews,Count_Neg_Reviews
0,2019-10-08,5,1
1,2019-10-09,14,3
2,2019-10-10,9,2
3,2019-10-11,9,0
4,2019-10-12,3,0
5,2019-10-13,8,0
6,2019-10-14,2,2
7,2019-10-15,2,1
8,2019-10-16,7,1
9,2019-10-17,3,1
10,2019-10-18,2,1
11,2019-10-19,5,0
12,2019-10-20,5,0
13,2019-10-21,1,0
14,2019-10-22,6,0
15,2019-10-23,1,2
16,2019-10-24,3,1
17,2019-10-25,10,2
18,2019-10-26,5,1
19,2019-10-27,10,5
20,2019-10-28,19,4
21,2019-10-29,10,3
22,2019-10-30,3,5
23,2019-10-31,15,5
24,2019-11-01,14,3
25,2019-11-02,13,2
26,2019-11-03,13,7
27,2019-11-04,16,5
28,2019-11-05,4,0
29,2019-11-06,6,3
30,2019-11-07,16,3
31,2019-11-08,9,3
32,2019-11-09,7,1
33,2019-11-10,5,1
34,2019-11-11,4,0
35,2019-11-12,7,0
36,2019-11-13,7,1
37,2019-11-14,8,1
38,2019-11-15,2,1
39,2019-11-16,2,1
40,2019-11-17,7,0
41,2019-11-18,8,3
42,2019-11-19,3,1
43,2019-11-20,5,0
44,2019-11-22,3,0
45,2019-11-23,2,2
46,2019-11-24,1,0
47,2019-11-25,5,1
48,2019-11-26,4,3
49,2019-11-27,2,0
50,2019-11-28,5,0
51,2019-11-29,2,1
52,2019-12-01,2,0
53,2019-12-02,2,1
54,2019-12-03,7,1
55,2019-12-04,9,6
56,2019-12-05,42,11
57,2019-12-06,7,1
58,2019-12-07,7,3
59,2019-12-08,4,2
60,2019-12-09,5,1
61,2019-12-10,9,1
62,2019-12-11,13,0
63,2019-12-12,26,3
64,2019-12-13,7,0
65,2019-12-14,8,0
66,2019-12-15,2,0
67,2019-12-16,4,0
68,2019-12-17,2,1
69,2019-12-18,4,0
70,2019-12-19,13,5
71,2019-12-20,5,0
72,2019-12-21,9,3
73,2019-12-22,4,2
74,2019-12-23,17,2
75,2019-12-24,6,3
76,2019-12-25,7,0
77,2019-12-26,26,12
78,2019-12-27,15,4
79,2019-12-28,24,6
80,2019-12-29,9,4
81,2019-12-30,19,2
82,2019-12-31,2,3
83,2020-01-01,10,3
84,2020-01-02,21,2
85,2020-01-03,23,5
86,2020-01-04,8,2
87,2020-01-05,5,0
88,2020-01-06,9,2
89,2020-01-07,10,7
90,2020-01-08,2,0
91,2020-01-09,12,3
92,2020-01-10,13,0
93,2020-01-11,3,1
94,2020-01-12,4,0
95,2020-01-13,7,1
96,2020-01-15,4,0
97,2020-01-16,7,0
98,2020-01-17,4,1
99,2020-01-18,1,0
100,2020-01-20,1,1
101,2020-01-21,1,0
102,2020-01-22,4,0
103,2020-01-23,3,0
104,2020-01-24,5,0
105,2020-01-25,1,0
106,2020-01-26,1,0
107,2020-01-27,1,0
108,2020-01-28,2,0
109,2020-01-29,1,0
110,2020-01-30,3,0
111,2020-01-31,2,1
112,2020-02-01,3,0
113,2020-02-02,2,0
114,2020-02-03,2,0
115,2020-02-04,3,0
116,2020-02-05,4,0
117,2020-02-06,0,2
118,2020-02-07,3,0
119,2020-02-08,4,1
120,2020-02-09,3,1
121,2020-02-10,5,0
122,2020-02-11,3,0
123,2020-02-12,4,3
124,2020-02-13,1,0
125,2020-02-14,3,0
126,2020-02-15,4,1
127,2020-02-16,4,3
128,2020-02-17,1,1
129,2020-02-18,1,2
130,2020-02-19,1,0
131,2020-02-20,4,0
132,2020-02-21,2,0
133,2020-02-22,0,1
134,2020-02-23,5,0
135,2020-02-24,1,0
136,2020-02-25,1,1
137,2020-02-26,2,1
138,2020-02-27,3,3
139,2020-02-28,3,0
140,2020-02-29,6,1
141,2020-03-01,4,0
142,2020-03-02,3,2
143,2020-03-03,3,2
144,2020-03-04,0,1
145,2020-03-05,8,0
146,2020-03-06,3,2
147,2020-03-07,1,2
148,2020-03-08,2,3
149,2020-03-09,1,2
150,2020-03-10,3,2
151,2020-03-11,0,1
152,2020-03-12,1,0
153,2020-03-13,1,1
154,2020-03-14,4,1
155,2020-03-15,4,0
156,2020-03-17,0,2
157,2020-03-18,2,0
158,2020-03-19,4,2
159,2020-03-20,7,0
160,2020-03-21,4,2
161,2020-03-22,4,1
162,2020-03-23,1,1
163,2020-03-24,3,0
164,2020-03-25,2,0
165,2020-03-26,1,0
166,2020-03-27,0,1
167,2020-03-29,2,0
168,2020-03-31,1,0
169,2020-04-01,2,0
170,2020-04-02,2,0
171,2020-04-08,1,0
172,2020-04-10,1,0
173,2020-04-11,2,1
174,2020-04-13,1,1
175,2020-04-14,0,1
176,2020-04-16,2,0
177,2020-04-17,2,0
178,2020-04-18,1,0
179,2020-04-19,2,0
180,2020-04-20,2,0
181,2020-04-22,5,0
182,2020-04-23,2,1
183,2020-04-24,1,2
184,2020-04-25,3,0
185,2020-04-26,5,0
186,2020-04-28,1,1
187,2020-04-29,4,0
188,2020-04-30,3,0
189,2020-05-01,2,0
190,2020-05-02,3,0
191,2020-05-03,1,0
192,2020-05-04,4,0
193,2020-05-05,5,2
194,2020-05-06,5,1
195,2020-05-07,5,2
196,2020-05-08,8,0
197,2020-05-09,1,0
198,2020-05-10,4,1
199,2020-05-11,3,0
200,2020-05-12,2,0
201,2020-05-13,3,0
202,2020-05-14,1,1
203,2020-05-15,5,2
204,2020-05-16,2,0
205,2020-05-17,3,2
206,2020-05-18,2,0
207,2020-05-19,7,2
